id,place,rocks,            latitude,longitude
18,Arabian Peninsula,"Alkali-feldspar-granite, Granite, Granodiorite, Tonalite, Dioritoid, Gabbro, Peridotite, Pyroxenite, Aplite, Pillow lava, Rhyolite, Quartz-trachyte, Trachyandesite, Trachybasalt, Trachyte, Basalt, Dolerite, Ophiolite, Porphyry, Carbonatite, Agglomerate, Tuff, Pegmatite, Sandstone, Mudstone, Concretion, Limestone, Dolostone, Phosphorite, Chert, Volcaniclastic rock, Serpentinite, Granulite, Amphibolite, Gneiss, Schist, Greisen, CR2 chondrite meteorite, EH3 chondrite meteorite, H5 chondrite meteorite, Lunar achondrite meteorite, Mesosiderite meteorite, Gossan",22.3742506,49.4770891
19,Arabian Plate,"Alkali-feldspar-granite, Granite, Granodiorite, Tonalite, Dioritoid, Gabbro, Peridotite, Pyroxenite, Aplite, Pillow lava, Rhyolite, Quartz-trachyte, Trachyandesite, Latite, Trachybasalt, Trachyte, Basalt, Variolite, Basanite, Tephrite, Dolerite, Ophiolite, Porphyry, Carbonatite, Glassy igneous rock, Agglomerate, Tuff, Pegmatite, Mud, Sandstone, Mudstone, Concretion, Limestone, Dolostone, Phosphorite, Radiolarite, Chert, Volcaniclastic rock, Calc-schist, Pyrometamorphic rock, Granulite, Amphibolite, Gneiss, Schist, Greisen, Hydrothermal breccia, CR2 chondrite meteorite, EH3 chondrite meteorite, H5 chondrite meteorite, Lunar achondrite meteorite, Mesosiderite meteorite, Duricrust",26.2367063,50.5909435
20,Arctic Ocean,"Tuff, Glassy igneous rock",83,-170
22,Armenia,"Granitoid, Syenite, Quartz-monzonite, Monzonite, Monzogabbro, Gabbro, Andesite-basalt, Pillow lava, Porphyry, Pyroclastic-rock, Tuffite, Volcanic breccia, Sandstone, Porphyroid, Schist, Metasomatic-rock",40.7696272,44.6736646
23,Aruba,Sedimentary rock,12.5013629,-69.9618475
24,Asia,"Copper ore, Gold ore, Iron ore, Nickel ore, Phosphate ore, Igneous rock, Sediment, Sedimentary rock, Metamorphic rock, Breccia, Meteorite, Soil, Residual deposit, Alluvial deposit, Lacustrine deposit",51.2086975,89.2343748
25,Atlantic Ocean,"Granitoid, Quartz-syenite, Syenite, Diorite, Gabbroid, Peridotite, Pyroxenite, Hornblendite, Pillow lava, Rhyolite, Basaltic-trachyandesite, Trachyandesite, Trachybasalt, Trachyte, Phonolite, Foidite, Basalt, Felsite, Basanitoid, Picrobasalt, Ultramafic-rock, Dolerite, Ophiolite, Porphyry, Carbonatite, Lamprophyre, Glassy igneous rock, Pyroclastic sediment, Pyroclastic-rock, Tuffite, Pegmatite, Gravel, Sand, Ooze, Sandstone, Mudstone, Limestone, Phosphorite, Ironstone, Radiolarite, Sinter, Chert, Serpentinite, Metasedimentary rock, Granulite, Amphibolite, Gneiss, Schist",13.581921,-38.320312
26,Australia,"Copper ore, Iron ore, Lead ore, Phosphate ore, Silver ore, Sulfide ore, Tin ore, Mafic rock, Orbiculite, Granitoid, Quartz-syenite, Syenite, Quartz-monzonite, Monzonite, Monzodiorite, Quartz-diorite, Diorite, Gabbro, Nepheline-syenite, Shonkinite, Peridotite, Pyroxenite, Hornblendite, Aplite, Banatite, Ultramafic-rock, Dolerite, Ophiolite, Porphyry, Carbonatite, Melilitolite, Melilitite, Olivine-melilitite, Lamproite, Lamprophyre, Kimberlite, Phoscorite, Chromitite, Cumulate, Pyroclastic sediment, Pyroclastic-rock, Volcanic breccia, Pegmatite, Sediment, Sedimentary rock, Tectonite, Metadolerite, Metavolcanic rock, Metagranite, Metagabbro, Metadiorite, Serpentinite, Metasedimentary rock, Jade, Granulite, Amphibolite, Slate, Phyllite, Spilite, Greenschist, Greenstone, Gneiss, Schist, Hornfels, Replacement phosphorite, Fenite, Greisen, Skarn, Propylite, Albitite, Hydrothermal breccia, Epidosite, Mylonite, Breccia, Meteorite, Colluvium, Soil, Laterite, Regolith, Silcrete, Ferricrete, Caliche, Salcrete, Gossan, Alluvial deposit",-24.7761086,134.755
27,Australian Plate,"Copper ore, Iron ore, Lead ore, Phosphate ore, Silver ore, Sulfide ore, Tin ore, Mafic rock, Orbiculite, Granitoid, Quartz-syenite, Syenite, Quartz-monzonite, Monzonite, Monzodiorite, Quartz-diorite, Diorite, Gabbro, Peridotite, Pyroxenite, Hornblendite, Aplite, Banatite, Ultramafic-rock, Dolerite, Ophiolite, Porphyry, Carbonatite, Melilitolite, Melilitite, Olivine-melilitite, Lamproite, Lamprophyre, Kimberlite, Phoscorite, Chromitite, Cumulate, Glassy igneous rock, Pyroclastic sediment, Pyroclastic-rock, Volcanic breccia, Pegmatite, Sediment, Sedimentary rock, Tectonite, Metadolerite, Metavolcanic rock, Metagranite, Metagabbro, Metadiorite, Serpentinite, Metasedimentary rock, Jade, Granulite, Amphibolite, Slate, Phyllite, Spilite, Greenschist, Greenstone, Gneiss, Schist, Hornfels, Replacement phosphorite, Fenite, Greisen, Skarn, Rodingite, Beresite, Listvenite, Propylite, Albitite, Hydrothermal breccia, Epidosite, Mylonite, Breccia, Meteorite, Colluvium, Soil, Laterite, Regolith, Duricrust, Alluvial deposit",-35.2769708,149.1208812
28,Austria,"Copper ore, Iron ore, Orbiculite, Granite, Granodiorite, Tonalite, Peridotite, Garnet pyroxenite, Clinopyroxenite, Orthopyroxenite, Hornblendite, Aplite, Basalt, Ophiolite, Porphyry, Carbonatite, Lamprophyre, Pegmatite, Gravel, Sand, Sandstone, Shale, Kaolinite-claystone, Siltstone, Concretion, Petrified Wood, Pisolite, Oncolite, Limestone, Dolostone, Phosphorite, Coal, Diatomite, Radiolarite, Sinter, Chert, Calc-schist, Metagabbro, Serpentinite, Quartzite, Metamudstone, Granulite, Amphibolite, Slate, Phyllite, Greenschist, Gneiss, Marble, Calc-silicate rock, Ophicarbonate, Schist, Skarn, Rodingite, Listvenite, Chloritolite, Phyllonite, Ultramylonite, Tektite, Chondrite meteorite",47.59397,14.12456
29,Azerbaijan,"Granitoid, Gabbro, Aplite, Andesite-basalt, Felsite, Dolerite, Porphyry, Pyroclastic-rock, Sandstone, Shale, Argillite, Jasper, Metasomatic-rock",40.3936294,47.7872508
30,Bahamas,"Igneous rock, Gravel, Sand, Sandstone, Mudstone, Concretion, Carbonate rock, Phosphorite, Ironstone, Diatomite, Chert, Volcaniclastic rock, Metamorphic rock, H chondrite meteorite, L4 chondrite meteorite, L6 chondrite meteorite, Iron meteorite, Relict meteorite, Regolith",24.7736546,-78.0000547
31,Bailiwick of Guernsey,"Granite Gneiss, Granodiorite, Dolerite, Aplite",49.4566233,-2.5822348
33,Baltic Sea,"Amphibolite, Gneiss, Impactite, Sandstone, Granitoid, Aplite",56,18
34,Baltic Shield,"Igneous rock, Gravel, Sand, Sandstone, Mudstone, Concretion, Carbonate rock, Phosphorite, Ironstone, Diatomite, Chert, Volcaniclastic rock, Metamorphic rock, H chondrite meteorite, L4 chondrite meteorite, L6 chondrite meteorite, Iron meteorite, Relict meteorite, Regolith",58.488,19.8633
35,Banda Sea Plate,"Metasandstone, Gneiss, Dolerite, Peridotite, Ophiolite, Schist",-5.46594965,126.4178696
36,Bangladesh,"Petrified Wood, Sandstone, Mudstone",24.4769288,90.2934413
37,Barbados,"Granite, Pegmatite",13.1500331,-59.5250305
38,Belarus,"Syenite, Gabbroid, Leucitite, Nephelinite, Acid volcanic rock, Dolerite, Porphyry, Lamprophyre, Sandstone, Halite-stone, Phosphorite",53.4250605,27.6971358
39,Belgium,"Quartz-diorite, Diorite, Aplite, Dolerite, Porphyry, Gravel, Sand, Mud, Conglomerate, Sandstone, Shale, Claystone, Petrified Wood, Pisolite, Limestone, Dolostone, Phosphorite, Coal, Porcellanite, Chert, Metamudstone, Slate, Phyllite, Coticule, Schist",50.6402809,4.6667145
40,Belize,Mudstone,17.1204943,-88.6859028
41,Benin,"Granite, Pegmatite",9.5293472,2.2584408
42,Bermuda,Lamprophyre,32.3040273,-64.7563086
43,Bhutan,"Mafic rock, Granitoid, Syenitoid, Dioritoid, Monzogabbro, Gabbro, Nepheline-syenite, Shonkinite, Peridotite, Pyroxenite, Hornblendite, Aplite, Ultramafic-rock, Dolerite, Ophiolite, Porphyry, Carbonatite, Lamprophyre, Kimberlite, Phoscorite, Chromitite, Magnetitite, Cumulate, Kamafugite, Pyroclastic-rock, Volcanic breccia, Pegmatite, Gravel, Conglomerate, Sandstone, Mudstone, Petrified Wood, Pisolite, Limestone, Dolostone, Ironstone, Diatomite, Chert, Meteorite, Laterite, Regolith, Duricrust, Alluvial deposit, Lacustrine deposi",27.549511,90.5119273
44,Birds Head Plate,"Porphyry, Sandstone, Mudstone, Breccia",0.0002,13
