id,place,rocks,            latitude,longitude
90,Ecuador,"Dioritoid, Peridotite, Andesite-basalt, Pillow lava, Andesite, Basalt, Porphyry, Pyroclastic sediment, Agglomerate, Lapilli-tuff, Tuff, Tuff-breccia, Volcanic breccia, Sandstone, Mudstone, Chert, Amphibolite, Schist",-1.3397668,-79.3666965
91,Egypt,"Mafic rock, Granitoid, Quartz-syenite, Syenite, Quartz-monzonite, Dioritoid, Gabbroid, Nepheline-syenite, Analcime-syenite, Peridotite, Pyroxenite, Aplite, Andesite-basalt, Pillow lava, Rhyolite, Trachytoid, Dacite-andesite, Andesite, Phonolite, Nephelinite, Basaltoid, Mafic volcanic rock, Amygdaloid, Felsite, Ultramafic-rock, Dolerite, Ophiolite, Porphyry, Carbonatite, Lamprophyre, Agglomerate, Lapilli-tuff, Tuff, Volcanic breccia, Pegmatite, Epidiorite, Gravel, Sand, Sandstone, Mudstone, Concretion, Petrified Wood, Carbonate rock, Phosphorite, Ironstone, Chert, Volcaniclastic rock, Metamorphic rock",26.2540493,29.2675469
92,El Salvador,"Peridotite, Pyroxenite, Pegmatite, Metagabbro, Serpentinite, Gneiss",13.8000382,-88.9140683
93,Equatorial Guinea,"Basalt, Trachyte",1.613172,10.5170357
94,Eritrea,"Granitoid, Phonolite, Pyroclastic-rock, Pegmatite, Metabasalt, Gneiss, Schist",15.9500319,37.9999668
95,Estonia,"Granitoid, Sandstone, Siltstone, Phosphorite, Amphibolite, Gneiss, Impactite",58.7523778,25.3319078
96,Eswatini,"Peridotite, Pyroxenite, Pegmatite, Metagabbro, Serpentinite, Gneiss",-26.5624806,31.3991317
97,Ethiopia,"Peralkaline alkali-feldspar-granite, Granite, Granodiorite, Syenite, Peridotite, Pyroxenite, Aplite, Rhyolite, Quartz-trachyte, Trachyandesite, Trachybasalt, Trachyte, Phonolite, Nephelinite, Basalt, Basanite, Tephrite, Adakite, Dolerite, Porphyry, Pyroclastic-rock, Pegmatite, Sandstone, Mudstone, Serpentinite, Gneiss, Schist, Lacustrine deposit",10.2116702,38.6521203
98,Eurasian Plate,"Peridotite, Pyroxenite, Pegmatite, Metagabbro, Serpentinite, Gneiss",63.8682171,-22.6751623
99,Europe,"Cobalt ore, Copper ore, Gold ore, Iron ore, Lead ore, Igneous rock, Sediment, Sedimentary rock, Metamorphic rock, Breccia, Meteorite, Laterite, Palaeosol, Regolith, Silcrete, Gossan, Alluvial deposit, Lacustrine deposit",51,10
100,Falkland Islands,"Granitoid, Dolerite, Lamprophyre, Gravel, Sandstone, Mudstone, Gneiss",-51.9492937,-59.5383657
101,Faroe Islands,"Peridotite, Pyroxenite, Pegmatite, Metagabbro, Serpentinite, Gneiss",62.1988704,-6.8178451
102,Federated States of,"Trachyte, Basanite",8.6062347,151.8327443
104,Finland,"Orbiculite, Granitoid, Gabbro, Nepheline-syenite, Peridotite, Pyroxenite, Aplite, Ferrodiorite, Pillow lava, Intermediate volcanic rock, Mafic volcanic rock, Dolerite, Ophiolite, Porphyry, Carbonatite, Lamproite, Lamprophyre, Kimberlite",63.2467777,25.9209164
105,Futuna Plate,"Mafic rock, Orbiculite, Granitoid, Quartz-syenite, Syenite, Monzonite, Monzogabbro, Gabbro, Nepheline-syenite, Peridotite, Pyroxenite, Hornblendite, Aplite. Pillow lava, Rhyolite, Quartz-trachyte, Trachyandesite, Latite, Trachybasalt, Trachyte, Andesite, Phonolite, Tephritic-phonolite, Foidite, Basalt, Variolite, Basanite, Phonolitic-tephrite, Tephrite. Picrobasalt, Dolerite, Ophiolite, Porphyry, Lamproite, Lamprophyre, Pyroclastic sediment, Pyroclastic-rock, Tuffite, Volcanic breccia, Pegmatite. Gravel, Sand, Conglomerate, Sandstone, Mudstone, Concretion, Petrified Wood, Pisolite, Carbonate rock, Evaporite, Phosphorite, Ooid-ironstone, Coal. Diatomite, Spiculite, Chert, Grainstone, Wackestone, Packstone, CM chondrite meteorite, Aubrite meteorite, Howardite meteorite, Pallasite meteorite. Laterite, Regolith, Duricrust, Loess",-14,-178
